id,platform,username,caption,likes,shares,comments,timestamp
1,Instagram,happysoul123,Feeling grateful today! 🌟,150,,40,2023-12-15T08:30:00Z
2,Facebook,creativegirl22,Check out our latest blog post!,300,150,50,2023-11-20T12:00:00Z
3,Twitter,techiegeek007,Exploring new technologies 🔬,400,,100,2023-10-25T15:00:00Z
4,LinkedIn,flowerlover88,Networking with like-minded professionals,450,,120,2023-09-30T18:00:00Z
5,Twitter,adventureseeker55,Embracing the spirit of adventure 🌍,380,,90,2023-08-20T10:00:00Z
6,Facebook,fashionista123,New fashion trends for the season!,280,120,60,2023-07-15T14:00:00Z
7,Instagram,musiclover99,Dancing to the rhythm of life 🎵,420,,110,2023-06-10T17:00:00Z
8,Twitter,travelbug22,Wanderlust at its finest ✈️,350,,80,2023-05-05T20:00:00Z
9,LinkedIn,codingninja007,Mastering the art of coding 💻,500,,150,2023-04-01T22:00:00Z
10,Instagram,sunsetdreamer22,Chasing sunsets and dreams 🌅✨,430,,130,2023-03-01T23:59:00Z
11,Facebook,bookworm1234,Book recommendations for the month!,320,100,70,2023-02-01T01:00:00Z
12,Twitter,foodiegirl123,Indulging in culinary delights 🍽️,370,,95,2023-01-01T03:00:00Z
13,LinkedIn,artlover789,Appreciating the beauty of art 🎨,480,,140,2022-12-01T05:00:00Z
14,Instagram,fitnessfreak101,Embracing a healthy lifestyle 💪,410,,115,2022-11-01T07:00:00Z
15,Twitter,naturelover456,Connecting with nature 🌿,360,,85,2022-10-01T09:00:00Z
16,Facebook,coffeeaddict77,The perfect cup of coffee ☕,290,110,65,2022-09-01T11:00:00Z
17,Instagram,petlover222,Unconditional love from our furry friends 🐾,440,,105,2022-08-01T13:00:00Z
18,Twitter,photographyenthusiast,Capturing moments one click at a time 📸,390,,75,2022-07-01T15:00:00Z
19,LinkedIn,startupfounder2022,Bringing innovative ideas to life!,520,,160,2022-06-01T17:00:00Z
20,Instagram,travelenthusiast33,Exploring new horizons 🌏,450,,125,2022-05-01T19:00:00Z
21,Facebook,musiclover555,Discover new tunes for your playlist!,330,90,75,2022-04-01T21:00:00Z
22,Twitter,codingenthusiast999,Diving deep into the world of coding,370,,100,2022-03-01T23:00:00Z
23,LinkedIn,businessmind2022,Entrepreneurship journey begins!,510,,150,2022-02-01T01:00:00Z
24,Instagram,yogalover888,Finding peace through yoga 🧘,420,,110,2022-01-01T03:00:00Z
25,Facebook,gardeningenthusiast44,Gardening tips for beginners!,300,120,70,2021-12-01T05:00:00Z
26,Twitter,foodblogger123,Exploring culinary delights around the world,380,,90,2021-11-01T07:00:00Z
27,LinkedIn,techenthusiast222,Tech innovations shaping the future,490,,140,2021-10-01T09:00:00Z
28,Instagram,fitnesslover777,Transforming lives through fitness 💪,410,,115,2021-09-01T11:00:00Z
29,Facebook,bookworm999,Join our book club for exciting reads!,320,100,65,2021-08-01T13:00:00Z
30,Twitter,photographylover2021,Every picture tells a story 📷,360,,85,2021-07-01T15:00:00Z
31,LinkedIn,businessmind2021,Striving for success in the corporate world,530,,170,2021-06-01T17:00:00Z
32,Instagram,traveller999,Wanderlust and city dust ✈️🌆,460,,130,2021-05-01T19:00:00Z
33,Facebook,musiclover777,Music therapy for the soul 🎶,340,80,60,2021-04-01T21:00:00Z
34,Twitter,codingenthusiast888,Coding is my superpower 💻,380,,110,2021-03-01T23:00:00Z
35,LinkedIn,startupfounder2021,From idea to execution: Startup journey begins!,550,,190,2021-02-01T01:00:00Z
36,Instagram,yogalover777,Find your inner peace through yoga 🧘‍♂️,440,,150,2021-01-01T03:00:00Z
37,Facebook,gardeningenthusiast33,Gardening hacks for a green thumb!,310,110,55,2020-12-01T05:00:00Z
38,Twitter,foodiegirl999,Food is my love language 🍔🥗,390,,120,2020-11-01T07:00:00Z
39,LinkedIn,techenthusiast333,Exploring the latest tech trends,510,,200,2020-10-01T09:00:00Z
40,Instagram,fitnesslover999,"Fitness is not a destination, it's a way of life 💪",460,,170,2020-09-01T11:00:00Z
41,Facebook,bookworm888,Books open doors to new worlds!,330,120,70,2020-08-01T13:00:00Z
42,Twitter,photographylover999,Capturing memories one click at a time 📸,400,,130,2020-07-01T15:00:00Z
43,LinkedIn,businessmind2020,"Building empires, one step at a time",540,,210,2020-06-01T17:00:00Z
44,Instagram,traveller777,Adventure awaits around every corner 🌍,490,,190,2020-05-01T19:00:00Z
45,Facebook,musiclover999,Let music be the soundtrack of your life 🎵,350,100,65,2020-04-01T21:00:00Z
46,Twitter,codingenthusiast777,Coding is the new literacy 💻,410,,150,2020-03-01T23:00:00Z
47,LinkedIn,startupfounder2020,From idea to impact: Startup journey unfolds,570,,230,2020-02-01T01:00:00Z
48,Instagram,yogalover999,"Breathe, stretch, and let go 🌬️",480,,210,2020-01-01T03:00:00Z
49,Facebook,gardeningenthusiast999,Gardening brings joy and tranquility!,370,130,75,2019-12-01T05:00:00Z
50,Twitter,foodiegirl777,Life is too short to eat boring food! 🍣,420,,160,2019-11-01T07:00:00Z
